Pascal Siakam,6,8,6,5,7,1,3,7,6,5,9,4,4,6,6,4,8,6,43,7
Scottie Barnes,6,7,6,5,7,1,2,5,5,6,8,5,5,5,5,5,8,5,4,2
Fred VanVleet,7,4,6,6,7,3,1,1,7,7,9,8,7,7,5,1,7,1,23,7
OG Anunoby,4,3,3,6,5,9,2,5,7,6,7,2,4,7,7,4,7,5,3,6
Gary Trent,6,9,7,6,7,6,1,1,2,7,6,4,5,5,3,2,6,3,33,5
Jakob Poeltl,1,9,2,1,3,1,5,6,1,1,6,4,1,1,3,5,6,10,25,7
Precious Achiuwa,1,3,3,3,6,1,4,5,1,5,7,1,3,3,8,6,6,6,5,3
Chris Boucher,1,6,2,4,5,1,4,6,1,1,8,1,1,1,1,6,6,7,25,5
Thaddeus Young,3,9,2,3,6,8,1,6,4,4,6,4,1,6,4,6,6,6,21,16
Otto Porter,5,8,7,6,5,7,1,3,5,4,9,4,3,5,3,2,6,6,32,10
Dalano Banton,5,5,6,5,6,7,6,1,4,5,6,6,4,4,2,3,5,5,45,2
Christian Koloko,1,2,2,1,3,1,8,5,1,4,6,1,1,1,1,2,6,10,35,1
Malachi Flynn,5,8,4,7,7,1,1,1,4,5,7,5,5,5,4,1,5,1,22,3
Juancho Hernangomez,3,4,4,5,4,1,1,3,3,2,6,1,1,3,1,2,5,7,41,7
Joe Wieskamp,4,3,4,5,4,1,1,1,2,7,6,3,5,3,1,1,5,4,15,2
